Person ID,Round,Investment,Returned,Classification,Person Money,Bank Money,GPT Powered
3,1,3,3,Trustful,10,10,not
3,2,4,6,Trustful,10,22,not
3,3,4,7,Trustful,10,35,not
2,1,4,7,Trustful,10,13,not
9,1,9,13,Trustful,10,14,not
6,1,2,2,Trustful,10,10,not
6,2,5,8,Trustful,10,23,not
